Id,Type,EventId,EventParam,CompleteNum,Prev,Next,Reward,Hyperlink
20001,1,101,,,,,"3,100",
20002,1,102,,3,,,"13,20",1
20003,1,103,,2,,,"3,20",2
20004,1,104,,2,,,"3,20",3
20005,1,105,1,1,,,"9,20",4
20006,1,105,2,1,,,"15,1",4
20007,1,106,,1,,,"3,20",5
20008,1,107,1,1,,,"3,20",6
20009,1,108,,5,,,"9,20",7
20010,1,109,,2,,,"3,20",8
20011,1,110,,2,,,"3,20",9
21001,2,201,1,0,,21002,"53033,20,3,10",
21002,2,201,5,0,21001,21003,"53033,20,3,20",
21003,2,201,10,0,21002,21004,"52054,50,5,50",
21004,2,201,20,0,21003,21005,"4,50,6,50",
21005,2,201,35,0,21004,21006,"1,50000,3,50",
21006,2,201,50,0,21005,21007,"1,60000,3,60",
21007,2,201,70,0,21006,21008,"1,80000,3,80",
21008,2,201,90,0,21007,21009,"1,100000,3,100",
21009,2,201,110,0,21008,21010,"1,120000,3,120",
21010,2,201,130,0,21009,,"1,150000,3,150",
21021,2,202,10,0,,21022,"57010,20,3,20",
21022,2,202,20,0,21021,21023,"57010,20,3,30",
21023,2,202,30,0,21022,21024,"1,50000,3,50",
21024,2,202,40,0,21023,21025,"1,80000,3,80",
21025,2,202,50,0,21024,21026,"1,120000,3,120",
21026,2,202,60,0,21025,21027,"1,180000,3,180",
21027,2,202,80,0,21026,21028,"1,250000,3,250",
21028,2,202,100,0,21027,21029,"1,400000,3,400",
21029,2,202,120,0,21028,21030,"1,600000,3,600",
21030,2,202,150,0,21029,,"1,1000000,3,1000",
21031,2,203,4,1,,21032,"1,5000,15,1",
21032,2,203,4,3,21031,21033,"1,10000,15,2",
21033,2,203,4,8,21032,21034,"1,20000,15,3",
21034,2,203,4,20,21033,21035,"1,50000,15,5",
21035,2,203,4,50,21034,21036,"1,100000,15,10",
21036,2,203,4,100,21035,,"1,200000,15,20",
21041,2,203,5,1,,21042,"1,20000,16,1",
21042,2,203,5,3,21041,21043,"1,40000,16,2",
21043,2,203,5,8,21042,21044,"1,80000,16,3",
21044,2,203,5,20,21043,21045,"1,200000,16,5",
21045,2,203,5,50,21044,21046,"1,400000,16,10",
21046,2,203,5,100,21045,,"1,1000000,16,20",
21051,2,204,,5,,21052,"1,10000,3,10",
21052,2,204,,20,21051,21053,"1,20000,3,20",
21053,2,204,,100,21052,21054,"1,30000,3,30",
21054,2,204,,200,21053,21055,"1,50000,3,50",
21055,2,204,,500,21054,21056,"1,80000,3,80",
21056,2,204,,1000,21055,,"1,150000,3,150",
21061,2,205,,5,,21062,"13,80,3,20",
21062,2,205,,20,21061,21063,"13,300,3,50",
21063,2,205,,50,21062,21064,"13,500,3,80",
21064,2,205,,100,21063,21065,"13,800,3,100",
21065,2,205,,200,21064,21066,"13,2000,3,200",
21066,2,205,,500,21065,21067,"13,3000,3,300",
21067,2,205,,1000,21066,,"13,5000,3,500",
21071,2,206,,100,,21072,"13,50,3,10",
21072,2,206,,300,21071,21073,"13,150,3,30",
21073,2,206,,600,21072,21074,"13,300,3,50",
21074,2,206,,1000,21073,21075,"13,800,3,100",
21075,2,206,,1500,21074,,"13,2000,3,200",
21081,2,207,3,1,,21082,"1,10000,3,10",
21082,2,207,3,5,21081,21083,"1,20000,3,20",
21083,2,207,4,1,21082,21084,"1,20000,3,20",
21084,2,207,4,5,21083,21085,"1,40000,3,40",
21085,2,207,5,1,21084,21086,"1,50000,3,50",
21086,2,207,5,5,21085,21087,"1,100000,3,100",
21087,2,207,6,1,21086,21088,"1,150000,3,150",
21088,2,207,6,5,21087,21089,"1,300000,3,300",
21089,2,207,7,1,21088,21090,"1,400000,3,400",
21090,2,207,7,5,21089,,"1,800000,3,800",
21151,2,210,2,1,,21152,"1,10000,3,10",
21152,2,210,2,5,21151,21153,"1,20000,3,20",
21153,2,210,3,1,21152,21154,"1,20000,3,20",
21154,2,210,3,5,21153,21155,"1,40000,3,40",
21155,2,210,4,1,21154,21156,"1,60000,3,60",
21156,2,210,4,5,21155,21157,"1,120000,3,120",
21157,2,210,5,1,21156,21158,"1,200000,3,200",
21158,2,210,5,5,21157,21159,"1,300000,3,300",
21159,2,210,6,1,21158,21160,"1,500000,3,500",
21160,2,210,6,5,21159,,"1,800000,3,800",
21171,2,209,1,0,,21172,"12007,1,13007,1",
21172,2,209,2,0,21171,21173,"10007,1,11007,1",
21173,2,209,3,0,21172,21174,"12009,1,13009,1",
21174,2,209,4,0,21173,21175,"10009,1,11009,1",
21175,2,209,5,0,21174,21176,"15121,1,53056,50",
21176,2,209,6,0,21175,21177,"52056,50,53056,50",
21177,2,209,7,0,21176,21178,"12012,1,13012,1",
21178,2,209,8,0,21177,21179,"10012,1,11012,1",
21179,2,209,9,0,21178,21180,"15212,1,52056,150",
21180,2,209,10,0,21179,21181,"12015,1,13015,1",
21181,2,209,11,0,21180,,"10015,1,11015,1",
