VipLevel,Money,AccelTimes,ActiveStageBuyTimes,GoldFingerBonus,HonorPointBonus,MonthCardItemBonus,SearchTaskCount
0,0,1,0,0,0,,5
1,60,2,1,2000,0,,6
2,300,3,1,4000,0,,6
3,1000,4,2,6000,0,"3,40,15,1",7
4,2000,5,2,8000,0,"3,60,15,1",8
5,5000,6,3,10000,2000,"3,90,15,2",9
6,10000,7,3,12000,4000,"3,120,15,2",10
7,20000,8,4,15000,6000,"3,150,15,3,57020,1",11
8,50000,9,4,20000,9000,"3,200,15,3,57020,2",12
9,100000,10,5,25000,12000,"3,250,15,4,57020,3",13
10,200000,11,5,30000,15000,"3,300,15,5,57020,4",14
11,500000,12,6,40000,20000,"3,400,15,5,57020,5",15
